UID,Category,KW,Web,Emp_count,Sales,Note,KW_search,FB_likes,FB,Position_CH,Impressions,Visits,Value_visitor,Value,Links,Site_count,Capital,Headquarter,City,Registered,Age,Size,BCG,Ratio,Sales per Emp_count
CHE-109.863.321,Tee/Kaffee/Kakao,Caferos,http://caferos.com,9,10000000,2016 Juli,0,465,Y,287080,322,300,0.3,584,2,1185,350000,Switzerland,Feusisberg,2006,New,XS,Question mark,High Industry Growth,1111111.11
CHE-112.307.813,Herstellung von Getr_nken,Glattfelder,http://www.glattfelder.ch,9,10000000,2016 Juli,18,220,N,142489,300,300,0.3,986,38,840,20000,Switzerland,Glattfelden,2005,Mature,XS,Question mark,High Industry Growth,1111111.11
N,N,Capra cafee ,N,3,1000000,N,0,8504,N,421161,300,300,1.5,578,6,285,180000,Switzerland,Cham,1973,Aging,XS,Dog,Low Industry Growth,333333.33
N,N,Caruso,https://kaffee.migros.ch/de/produkte/marken/caruso,3,1000000,N,40,828,N,35353,265,300,1.41,720,2,120,100000,Switzerland,Chur,1996,Aging,XS,Dog,Low Industry Growth,333333.33
N,N,Cuendet ,http://www.cafes-cuendet.ch,1000,1000000,N,16,175,N,354287,10584,1056,0.6,825,34,27900,100000,Switzerland,Crissier,2002,Mature,XL,Cash Cow,Low Industry Growth,1000
CHE-404.470.140,Tee/Kaffee/Kakao,Montepeque,http://www.cafemontepeque.com,9,1000000,N,0,1418,Y,380395,265,300,0.74,584,359,105750,20000,Switzerland,Effretikon,2014,New,XS,Dog,Low Industry Growth,111111.11
CHE-100.139.986,Herstellung von Getr_nken,Drei herzen,http://www.dreiherzen.ch,9,1000000,N,0,658,Y,176922,300,358,0.6,623,2,240,100000,Switzerland,Einsiedeln,1991,Aging,XS,Dog,Low Industry Growth,111111.11
N,N,Valmandin,http://www.valmandin.ch,9,1000000,N,0,75,Y,35353,23814,300,0.74,2275,44,57300,25000,Switzerland,Geneve,1973,Aging,XS,Dog,Low Industry Growth,111111.11
N,N,roasters,https://www.roasters.ch,40,1000000,N,20,828,N,35353,300,300,2.16,766,2,1425,4710612,Switzerland,Horw,1936,Aging,S,Dog,Low Industry Growth,25000
N,N,Roestgrad,http://www.roestgrad.ch,199,1000000,N,0,4121,N,13398,1191,956,0.3,1710,44,660,20000,Switzerland,Kleinandelfingen,1964,Aging,L,Cash Cow,Low Industry Growth,5025.13
N,N,Schweitzer bio cafee,http://www.cafebio.com,1000,10000000,N,0,1321,N,98840,3175,300,0.51,14717,23,75,900000,Switzerland,Langeniois,1905,Aging,XL,Cash Cow,Low Industry Growth,10000
N,N,Terre des Hommes,https://www.tdh.ch/en/contact-us,3,1000000,N,3,220,N,449956,300,300,1.32,781,155,1425,350000,Switzerland,Lausanne,1973,Aging,XS,Dog,Low Industry Growth,333333.33
N,N,Fairglobe,N,19,100000000,N,0,465,N,131070,528,300,0.74,899,21,1185,100000,Switzerland,N,2015,New,S,Question mark,High Industry Growth,5263157.89
N,N,Kung Kaffee,N,99,30000000,N,0,7995,N,176922,5292,464,0.35,2275,118,41550,500000,Switzerland,N,2015,New,M,Dog,Low Industry Growth,303030.3
N,N,Lu cafee,http://www.lucaffe.com,3,1000000,N,0,44,N,98749,300,300,1.5,743,29,1455,20000,Switzerland,N,1996,Aging,XS,Dog,Low Industry Growth,333333.33
N,N,Linthof,http://www.linthof-kaffee.ch,9,1000000,N,0,7995,N,544816,300,300,0.21,698,2,30,100000,Switzerland,Nafels,1991,Aging,XS,Dog,Low Industry Growth,111111.11
N,N,Vescovi,http://www.wedlkaffee.com/marken/vescovi/,49,1000000,N,0,3754,N,42412,1193,2299,0.46,2144,40,33450,100000,Italy,Padua,1904,Aging,S,Dog,Low Industry Growth,20408.16
CHE-293.158.291,Tee/Kaffee/Kakao,JDE,https://www.jacobsdouweegberts.com,9,1000000,N,5,940534,Y,176922,1193,300,0.41,24642,34,41550,25000,Switzerland,Zug,2015,New,XS,Dog,Low Industry Growth,111111.11
CHE-105.008.305,Tee/Kaffee/Kakao,La mar,https://lamar-kaffeepads.ch,499,1000000,N,24,60259,N,52789,10319,300,0.21,2143,130,26400,100000,Switzerland,Zurich,2005,Mature,L,Cash Cow,Low Industry Growth,2004.01
N,N,Le pedaleur,http://www.lepedaleur.com,499,10000000,N,0,4287,N,446603,10319,300,0.6,2144,17,105750,350000,Switzerland,Zurich,2014,New,L,Cash Cow,Low Industry Growth,20040.08
N,N,Rebel Dia,http://www.chiapas.ch/cafe1.php,3,500000000,N,0,734777,N,1123,5852,147885,0.29,87819,25,121500,20000000,Switzerland,Zurich,1964,Aging,XS,Question mark,High Industry Growth,166666666.7
N,N,Mesob,N,15,1000000,N,5,44,N,421161,12172,300,0.3,1537,15,54450,400000,Switzerland,Zurich,1931,Aging,S,Dog,Low Industry Growth,66666.67
